"nobs","Mmod","Smod","kernel","criterion","mean_ISE","sd_ISE","median_ISE","IQR_ISE","mean_time_min"
100,1,1,"smlnorm","lcv",1592.58048295997,2919.98032600963,952.907469999125,889.989319951939,0.2659744330255
200,1,1,"smlnorm","lcv",1081.39657138113,1455.67284108143,763.439200232906,546.811705520564,0.523020109705006
300,1,1,"smlnorm","lcv",796.010436499338,683.294998012656,635.118512123023,426.107055769863,0.82475052283844
100,2,1,"smlnorm","lcv",11135.2631207002,14736.193802983,8086.02179891746,5983.24515662497,0.264616289560217
200,2,1,"smlnorm","lcv",7464.46306828701,7442.91716689177,5584.40204338884,4010.99001889584,0.523696523753461
300,2,1,"smlnorm","lcv",6000.93862108108,4498.92082609317,4877.5687955344,2886.62292223087,0.80876668971808
100,3,1,"smlnorm","lcv",9068.03195225504,12009.5328959678,6662.91708120342,5377.81335547211,0.272499970866678
200,3,1,"smlnorm","lcv",6648.12999173003,7723.2924364979,5000.6437314947,3733.26299143024,0.525658331388452
300,3,1,"smlnorm","lcv",5413.48106214816,8571.85646809756,4084.67163156536,2478.20369571649,0.82312776754455
100,1,2,"smlnorm","lcv",3207.19006701447,4370.1491841678,2117.53941190523,2061.76538531788,0.236039833262718
200,1,2,"smlnorm","lcv",2302.9976580222,2499.41597323061,1694.19680644806,1428.71371707227,0.464190134615637
300,1,2,"smlnorm","lcv",2014.43244390706,4513.87616705092,1512.98870985757,1017.47083937718,0.752582328890761
100,2,2,"smlnorm","lcv",33851.4139786088,81181.5033955708,22064.2853976444,17108.0973116429,0.284807340730913
200,2,2,"smlnorm","lcv",21068.8073549253,24403.630817699,16358.9556678817,10842.3906571664,0.548331303933325
300,2,2,"smlnorm","lcv",17561.1563013694,31780.365171785,13307.8889813889,8239.79322328324,0.850864829301524
100,3,2,"smlnorm","lcv",23124.5169654393,21954.3455216593,16983.6409413295,13097.6275652152,0.301079467214489
200,3,2,"smlnorm","lcv",17978.1910080398,16579.141982234,13882.3211837846,8755.77707575041,0.571345476817805
300,3,2,"smlnorm","lcv",14379.4867302691,16449.3823638513,11168.4154264579,6665.92447979048,0.881662951879359
100,1,3,"smlnorm","lcv",11374.3789225833,16136.6782208162,7543.77395613626,7121.08446291005,0.112994742005443
200,1,3,"smlnorm","lcv",8105.03588059899,8106.46242610612,6055.44330816852,4912.41131506448,0.290809450430485
300,1,3,"smlnorm","lcv",6842.73231713447,5156.04790115884,5411.36545553206,3875.08733364159,0.519323891215026
